:Data_list: 20141026_Gp_xr_5m.txt
:Created: 2014 Oct 27 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 10 26  0000   56956      0     3.21e-08    1.88e-06    1.70e-02
2014 10 26  0005   56956    300     3.95e-08    1.87e-06    2.04e-02
2014 10 26  0010   56956    600     5.20e-08    2.07e-06    2.48e-02
2014 10 26  0015   56956    900     4.41e-08    1.92e-06    2.28e-02
2014 10 26  0020   56956   1200     3.69e-08    1.83e-06    2.02e-02
2014 10 26  0025   56956   1500     3.64e-08    1.81e-06    2.02e-02
2014 10 26  0030   56956   1800     4.26e-08    1.86e-06    2.29e-02
2014 10 26  0035   56956   2100     3.17e-08    1.75e-06    1.81e-02
2014 10 26  0040   56956   2400     3.64e-08    1.74e-06    2.09e-02
2014 10 26  0045   56956   2700     5.18e-08    1.86e-06    2.78e-02
2014 10 26  0050   56956   3000     4.27e-08    1.80e-06    2.37e-02
2014 10 26  0055   56956   3300     5.07e-08    1.85e-06    2.75e-02
2014 10 26  0100   56956   3600     4.30e-08    1.80e-06    2.39e-02
2014 10 26  0105   56956   3900     5.12e-08    1.84e-06    2.79e-02
2014 10 26  0110   56956   4200     2.88e-07    2.80e-06    9.97e-02
2014 10 26  0115   56956   4500     1.71e-07    2.78e-06    6.11e-02
2014 10 26  0120   56956   4800     1.29e-07    2.55e-06    5.04e-02
2014 10 26  0125   56956   5100     1.16e-07    2.50e-06    4.63e-02
2014 10 26  0130   56956   5400     2.31e-07    3.01e-06    7.56e-02
2014 10 26  0135   56956   5700     2.70e-07    3.40e-06    7.90e-02
2014 10 26  0140   56956   6000     2.23e-07    3.21e-06    6.96e-02
2014 10 26  0145   56956   6300     1.55e-07    2.89e-06    5.35e-02
2014 10 26  0150   56956   6600     9.56e-08    2.47e-06    3.86e-02
2014 10 26  0155   56956   6900     1.42e-07    2.68e-06    5.28e-02
2014 10 26  0200   56956   7200     1.54e-07    2.85e-06    5.38e-02
