:Data_list: 20141022_Gp_xr_5m.txt
:Created: 2014 Oct 23 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 10 22  0000   56952      0     9.71e-08    2.23e-06    4.30e-02
2014 10 22  0005   56952    300     1.24e-07    2.50e-06    4.94e-02
2014 10 22  0010   56952    600     1.02e-07    2.41e-06    4.22e-02
2014 10 22  0015   56952    900     1.02e-07    2.40e-06    4.24e-02
2014 10 22  0020   56952   1200     7.19e-08    2.15e-06    3.34e-02
2014 10 22  0025   56952   1500     6.71e-08    1.99e-06    3.37e-02
2014 10 22  0030   56952   1800     6.20e-08    1.92e-06    3.23e-02
2014 10 22  0035   56952   2100     6.24e-08    1.91e-06    3.27e-02
2014 10 22  0040   56952   2400     5.55e-08    1.85e-06    3.00e-02
2014 10 22  0045   56952   2700     4.79e-08    1.77e-06    2.71e-02
2014 10 22  0050   56952   3000     4.54e-08    1.77e-06    2.57e-02
2014 10 22  0055   56952   3300     4.99e-08    1.76e-06    2.83e-02
2014 10 22  0100   56952   3600     4.30e-08    1.71e-06    2.52e-02
2014 10 22  0105   56952   3900     5.05e-08    1.79e-06    2.80e-02
2014 10 22  0110   56952   4200     5.26e-08    1.85e-06    2.85e-02
2014 10 22  0115   56952   4500     1.57e-07    2.39e-06    6.07e-02
2014 10 22  0120   56952   4800     4.68e-07    3.95e-06    1.19e-01
2014 10 22  0125   56952   5100     4.81e-07    4.67e-06    1.03e-01
2014 10 22  0130   56952   5400     1.28e-06    8.25e-06    1.45e-01
2014 10 22  0135   56952   5700     3.02e-06    1.58e-05    1.86e-01
2014 10 22  0140   56952   6000     1.27e-05    4.22e-05    3.01e-01
