:Data_list: 20141027_Gp_xr_5m.txt
:Created: 2014 Oct 28 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 10 27  0000   56957      0     3.02e-07    4.38e-06    6.79e-02
2014 10 27  0005   56957    300     8.86e-07    6.71e-06    1.27e-01
2014 10 27  0010   56957    600     2.92e-06    1.40e-05    2.09e-01
2014 10 27  0015   56957    900     7.39e-06    2.75e-05    2.58e-01
2014 10 27  0020   56957   1200     1.69e-05    5.79e-05    2.92e-01
2014 10 27  0025   56957   1500     1.69e-05    6.65e-05    2.54e-01
2014 10 27  0030   56957   1800     1.72e-05    6.89e-05    2.50e-01
2014 10 27  0035   56957   2100     1.16e-05    6.07e-05    1.90e-01
2014 10 27  0040   56957   2400     6.66e-06    4.37e-05    1.52e-01
2014 10 27  0045   56957   2700     3.03e-06    2.79e-05    1.06e-01
2014 10 27  0050   56957   3000     9.87e-07    1.45e-05    6.68e-02
2014 10 27  0055   56957   3300     4.10e-07    8.35e-06    4.87e-02
2014 10 27  0100   56957   3600     2.50e-07    5.91e-06    4.22e-02
2014 10 27  0105   56957   3900     2.64e-07    5.09e-06    5.20e-02
2014 10 27  0110   56957   4200     3.01e-07    5.01e-06    6.01e-02
2014 10 27  0115   56957   4500     2.57e-07    4.85e-06    5.30e-02
2014 10 27  0120   56957   4800     2.10e-07    4.48e-06    4.70e-02
2014 10 27  0125   56957   5100     3.14e-07    4.70e-06    6.53e-02
2014 10 27  0130   56957   5400     4.29e-07    5.42e-06    7.92e-02
2014 10 27  0135   56957   5700     3.48e-07    5.13e-06    6.76e-02
2014 10 27  0140   56957   6000     2.51e-07    4.58e-06    5.47e-02
